v024,Median_Start_Age,Median_End_Age,Menopause_Span
1,35.0,46.0,11.0
2,39.0,47.0,8.0
3,40.0,47.0,7.0
4,39.0,46.0,7.0
5,41.0,46.0,5.0
6,38.0,46.0,8.0
7,39.0,46.0,7.0
8,38.0,47.0,9.0
9,38.0,45.0,7.0
10,36.0,45.0,9.0
11,36.5,47.0,10.5
12,35.0,47.0,12.0
13,35.0,48.0,13.0
14,35.0,47.0,12.0
15,35.0,47.0,12.0
16,40.0,47.0,7.0
17,36.0,46.0,10.0
18,40.0,46.0,6.0
19,41.0,47.0,6.0
20,38.0,46.0,8.0
21,40.0,46.0,6.0
22,38.0,46.0,8.0
23,42.0,46.0,4.0
24,40.0,45.0,5.0
25,38.0,47.0,9.0
27,41.0,46.0,5.0
28,40.0,46.0,6.0
29,40.0,45.0,5.0
30,40.0,48.0,8.0
31,36.5,47.0,10.5
32,40.0,47.0,7.0
33,41.0,47.0,6.0
34,38.0,47.0,9.0
35,38.0,46.0,8.0
36,40.0,46.0,6.0
37,36.0,46.0,10.0
