Region,Actual_Span,Predicted_Span,Absolute_Error
1,11.0,10.624914,0.37508583068847656
2,8.0,6.891167,1.108832836151123
3,7.0,5.2603855,1.739614486694336
4,7.0,7.182158,0.1821579933166504
5,5.0,6.828656,1.8286561965942383
6,8.0,8.5014925,0.5014925003051758
7,7.0,9.128405,2.1284046173095703
8,9.0,6.2992077,2.7007923126220703
9,7.0,7.5087967,0.5087966918945312
10,9.0,7.170912,1.8290882110595703
11,10.5,8.788963,1.7110366821289062
12,12.0,9.675565,2.324435234069824
13,13.0,11.506705,1.4932947158813477
14,12.0,12.089818,0.08981800079345703
15,12.0,11.316084,0.6839160919189453
16,7.0,7.7063713,0.7063713073730469
17,10.0,10.323341,0.32334136962890625
18,6.0,8.368266,2.3682661056518555
19,6.0,6.276279,0.2762789726257324
20,8.0,7.7719536,0.22804641723632812
21,6.0,6.404665,0.4046649932861328
22,8.0,8.022004,0.022004127502441406
23,4.0,6.3326006,2.3326005935668945
24,5.0,5.8823457,0.8823456764221191
25,9.0,7.7829113,1.2170886993408203
27,5.0,4.9412117,0.058788299560546875
28,6.0,6.5420547,0.5420546531677246
29,5.0,6.2025557,1.2025556564331055
30,8.0,8.736525,0.7365245819091797
31,10.5,10.318523,0.18147659301757812
32,7.0,8.142527,1.142526626586914
33,6.0,5.574693,0.4253067970275879
34,9.0,8.114099,0.8859014511108398
35,8.0,6.9328456,1.0671544075012207
36,6.0,6.0907645,0.09076452255249023
37,10.0,11.695233,1.6952333450317383
